Joint Name,Movements
NOSE,976
LEFT_EYE_INNER,953
LEFT_EYE,950
LEFT_EYE_OUTER,942
RIGHT_EYE_INNER,952
RIGHT_EYE,954
RIGHT_EYE_OUTER,944
LEFT_EAR,917
RIGHT_EAR,926
MOUTH_LEFT,956
MOUTH_RIGHT,960
LEFT_SHOULDER,921
RIGHT_SHOULDER,910
LEFT_ELBOW,959
RIGHT_ELBOW,977
LEFT_WRIST,992
RIGHT_WRIST,1030
LEFT_PINKY,1009
RIGHT_PINKY,1039
LEFT_INDEX,1024
RIGHT_INDEX,1034
LEFT_THUMB,1018
RIGHT_THUMB,1032
LEFT_HIP,907
RIGHT_HIP,910
LEFT_KNEE,947
RIGHT_KNEE,909
LEFT_ANKLE,764
RIGHT_ANKLE,672
LEFT_HEEL,834
RIGHT_HEEL,741
LEFT_FOOT_INDEX,762
RIGHT_FOOT_INDEX,643
