Joint Name,Movements
NOSE,4868
LEFT_EYE_INNER,4838
LEFT_EYE,4828
LEFT_EYE_OUTER,4811
RIGHT_EYE_INNER,4859
RIGHT_EYE,4866
RIGHT_EYE_OUTER,4850
LEFT_EAR,4775
RIGHT_EAR,4790
MOUTH_LEFT,4812
MOUTH_RIGHT,4839
LEFT_SHOULDER,4856
RIGHT_SHOULDER,4822
LEFT_ELBOW,5137
RIGHT_ELBOW,5218
LEFT_WRIST,5223
RIGHT_WRIST,5311
LEFT_PINKY,5284
RIGHT_PINKY,5338
LEFT_INDEX,5278
RIGHT_INDEX,5345
LEFT_THUMB,5254
RIGHT_THUMB,5334
LEFT_HIP,4696
RIGHT_HIP,4726
LEFT_KNEE,4716
RIGHT_KNEE,4730
LEFT_ANKLE,3982
RIGHT_ANKLE,3948
LEFT_HEEL,4222
RIGHT_HEEL,4375
LEFT_FOOT_INDEX,3926
RIGHT_FOOT_INDEX,3897
