Joint Name,Movements
NOSE,5166
LEFT_EYE_INNER,5125
LEFT_EYE,5134
LEFT_EYE_OUTER,5139
RIGHT_EYE_INNER,5135
RIGHT_EYE,5130
RIGHT_EYE_OUTER,5162
LEFT_EAR,5077
RIGHT_EAR,5090
MOUTH_LEFT,5159
MOUTH_RIGHT,5138
LEFT_SHOULDER,5294
RIGHT_SHOULDER,5304
LEFT_ELBOW,6120
RIGHT_ELBOW,5922
LEFT_WRIST,6251
RIGHT_WRIST,5999
LEFT_PINKY,6309
RIGHT_PINKY,6039
LEFT_INDEX,6312
RIGHT_INDEX,6064
LEFT_THUMB,6272
RIGHT_THUMB,6036
LEFT_HIP,4943
RIGHT_HIP,4900
LEFT_KNEE,4952
RIGHT_KNEE,4932
LEFT_ANKLE,4582
RIGHT_ANKLE,4793
LEFT_HEEL,4883
RIGHT_HEEL,5205
LEFT_FOOT_INDEX,4249
RIGHT_FOOT_INDEX,4583
