Joint Name,Movements
NOSE,797
LEFT_EYE_INNER,787
LEFT_EYE,781
LEFT_EYE_OUTER,779
RIGHT_EYE_INNER,772
RIGHT_EYE,763
RIGHT_EYE_OUTER,762
LEFT_EAR,769
RIGHT_EAR,728
MOUTH_LEFT,776
MOUTH_RIGHT,772
LEFT_SHOULDER,774
RIGHT_SHOULDER,790
LEFT_ELBOW,870
RIGHT_ELBOW,901
LEFT_WRIST,904
RIGHT_WRIST,919
LEFT_PINKY,912
RIGHT_PINKY,919
LEFT_INDEX,921
RIGHT_INDEX,924
LEFT_THUMB,922
RIGHT_THUMB,918
LEFT_HIP,756
RIGHT_HIP,770
LEFT_KNEE,771
RIGHT_KNEE,783
LEFT_ANKLE,708
RIGHT_ANKLE,722
LEFT_HEEL,724
RIGHT_HEEL,761
LEFT_FOOT_INDEX,701
RIGHT_FOOT_INDEX,729
